frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
44622,549,61,1.5,114.0,164.0,134.6,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.200,569
44621,549,61,2.0,113.0,173.0,154.14285714285714,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.100,569
44620,549,61,1.5,117.0,170.0,205.3333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.000,569
44615,549,62,1.5,114.0,169.0,248.3333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.500,569
44616,549,62,1.5,114.0,169.0,248.3333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.600,569
44619,549,61,1.5,117.0,170.0,205.3333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.900,569
44617,549,62,3.5,118.0,179.0,238.125,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.700,569
44630,553,42,3.0,116.0,150.0,130.85714285714286,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:23.000,573
44626,553,42,2.0,143.0,163.0,199.3333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.600,573
44624,553,42,4.0,130.0,155.0,220.66666666666663,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.400,573
44628,553,42,2.0,132.0,158.0,191.8333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.800,573
44625,553,42,4.0,118.0,158.0,219.77777777777777,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.500,573
44627,553,42,2.0,138.0,159.0,196.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.700,573
44623,553,42,4.0,130.0,155.0,220.66666666666663,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.300,573
44629,553,42,2.0,132.0,158.0,191.8333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.900,573
44634,553,42,1.5,115.0,135.0,177.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:23.400,573
44632,553,42,2.0,121.0,142.0,152.66666666666666,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:23.200,573
44633,553,42,2.0,116.0,137.0,153.66666666666666,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:23.300,573
44635,553,42,1.5,118.0,132.0,113.8,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:23.500,573
44636,553,42,1.5,118.0,132.0,113.8,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:23.600,573
44631,553,42,3.0,112.0,147.0,132.42857142857142,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:23.100,573
44974,588,152,4.5,124.0,171.0,233.1,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:57.400,608
44982,589,157,16.5,114.0,179.0,236.11538461538464,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.200,609
44976,589,156,14.0,120.0,180.0,242.65217391304347,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:57.600,609
44981,589,157,18.5,111.0,179.0,243.53571428571428,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.100,609
44979,589,157,17.5,111.0,179.0,239.6296296296296,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:57.900,609
44980,589,157,18.0,111.0,179.0,239.4642857142857,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.000,609
44978,589,157,16.5,126.0,179.0,241.92307692307693,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:57.800,609
44975,588,155,11.0,118.0,179.0,242.8947368421053,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:57.500,608
44977,589,156,18.0,119.0,201.0,238.2142857142857,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:57.700,609
44989,590,158,8.0,119.0,179.0,248.4375,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.900,610
44986,590,158,8.5,117.0,179.0,246.6875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.600,610
44984,589,158,14.0,122.0,179.0,248.1304347826087,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.400,609
44987,590,158,8.5,128.0,179.0,250.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.700,610
44988,590,158,9.0,127.0,179.0,252.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.800,610
44985,590,157,10.5,115.0,179.0,247.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.500,610
44990,590,158,9.0,115.0,179.0,245.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.000,610
44983,589,157,16.5,113.0,179.0,245.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:58.300,609
44998,592,156,3.5,134.0,177.0,229.77777777777777,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.800,612
44994,591,157,8.0,113.0,171.0,237.4375,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.400,611
44996,591,158,8.0,117.0,177.0,238.7058823529412,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.600,611
44993,591,157,9.0,114.0,176.0,245.77777777777777,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.300,611
44997,591,158,8.0,115.0,179.0,226.9375,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.700,611
44992,590,158,6.5,117.0,173.0,250.33333333333331,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.200,610
44995,591,157,7.0,116.0,179.0,247.1875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.500,611
44991,590,158,8.5,111.0,179.0,244.8235294117647,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.100,610
45002,592,159,1.5,113.0,169.0,160.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:00.200,612
45004,592,159,2.0,119.0,162.0,245.42857142857144,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:00.400,612
44999,592,157,4.5,120.0,177.0,242.16666666666663,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:59.900,612
45000,592,157,4.5,120.0,177.0,242.16666666666663,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:00.000,612
45001,592,157,5.0,128.0,176.0,228.75,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:00.100,612
45003,592,159,2.0,111.0,156.0,166.85714285714286,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:00.300,612
45011,593,142,5.0,113.0,165.0,159.10000000000002,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.100,613
45009,593,142,2.5,115.0,148.0,186.42857142857144,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:00.900,613
45012,593,142,4.0,114.0,149.0,101.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.200,613
45010,592,142,1.5,136.0,149.0,219.2,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.000,612
45013,593,143,2.5,113.0,153.0,101.14285714285714,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.300,613
45017,588,118,4.5,113.0,176.0,237.0909090909091,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.700,608
45019,588,117,1.5,137.0,175.0,242.2,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.900,608
45020,588,117,1.5,137.0,175.0,242.2,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:02.000,608
45018,588,117,2.0,122.0,179.0,247.14285714285717,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.800,608
45016,588,117,3.5,118.0,178.0,252.1111111111111,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:01.600,608
45021,588,117,1.5,115.0,174.0,241.2,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:02.100,608
45030,585,89,1.5,116.0,150.0,46.6,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:03.000,605
45031,585,89,1.5,116.0,150.0,46.6,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:03.100,605
45478,275,150,3.0,116.0,139.0,66.28571428571428,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:47.800,295
45480,275,151,5.0,113.0,173.0,193.4,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.000,295
45486,276,150,3.0,151.0,175.0,246.875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.600,296
45484,276,150,4.0,127.0,209.0,223.88888888888889,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.400,296
45483,276,150,4.0,128.0,171.0,208.3333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.300,296
45482,276,150,3.0,138.0,194.0,209.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.200,296
45485,276,150,4.0,126.0,177.0,244.2222222222222,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.500,296
45481,276,150,6.5,117.0,169.0,157.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.100,296
45479,275,151,4.5,118.0,150.0,153.88888888888889,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:47.900,295
45489,276,150,4.0,119.0,179.0,241.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.900,296
45490,276,150,4.0,119.0,179.0,241.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:49.000,296
45492,277,148,1.5,118.0,145.0,218.66666666666663,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:49.200,297
45488,276,150,3.0,141.0,175.0,250.875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.800,296
45491,277,148,1.5,118.0,145.0,218.66666666666663,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:49.100,297
45487,276,150,3.0,147.0,175.0,249.875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:48.700,296
45496,277,150,1.5,123.0,145.0,154.60000000000002,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:08:49.600,297
